Sub_ID,group_name,group,ID_CN,ID_HK,IB_P1,IB_P2,IB_P3,IB_P4,IB_P5,IB_P6,IB_P7,IB_N1,IB_N2,IB_N3,IB_N4,IB_N5,IB_N6,IB_N7,IB_Neu1,IB_Neu2,IB_Neu3,IB_Neu4,IB_Neu5,IB_Neu6,IB_Neu7,ID_HKa_1,ID_HKa_2,ID_HKa_3,ID_HKa_check,ID_HKb_1,ID_HKb_2,ID_HKb_3,ID_HKb_4,ID_CUHKa_1,ID_CUHKa_2,ID_CUHKa_3,ID_CUHKb_1,ID_CUHKb_2,ID_CUHKb_3,ID_CUHKb_4,ID_CNa_1,ID_CNa_2,ID_CNa_3,ID_CNa_check,ID_CNb_1,ID_CNb_2,ID_CNb_3,ID_CNb_4,pre_PVT_RT,pre_PVT_miss,main_PVT_RT,main_PVT_miss,PVT_RT_change
604056,SC      ,sleep control,1.1428571428571428,5.428571428571429,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Chinese Mainlanders,Chinese Mainlanders,Chinese Mainlanders,Chinese Mainlanders,Chinese Mainlanders,Chinese Mainlanders,Chinese Mainlanders,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,6,5,6,1,5,5,6,5,5,4,4,5,4,4,5,2,1,1,6,1,1,1,1,296.775,0,289.7,0,-7.074999999999989
604059,SC      ,sleep control,4.285714285714286,5.142857142857143,Chinese Mainlanders,Hong Kongers       ,Hong Kongers       ,Chinese Mainlanders,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Chinese Mainlanders,Hong Kongers       ,Chinese Mainlanders,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Chinese Mainlanders,Hong Kongers       ,Chinese Mainlanders,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,6,4,5,1,6,5,5,5,6,6,6,6,6,6,6,5,4,5,6,4,4,4,4,327.925,0,315.4,0,-12.525000000000034
604061,SC      ,sleep control,4.428571428571429,5.714285714285714,Chinese Mainlanders,Chinese Mainlanders,Hong Kongers       ,Chinese Mainlanders,Chinese Mainlanders,Chinese Mainlanders,Hong Kongers       ,Hong Kongers       ,Chinese Mainlanders,Chinese Mainlanders,Chinese Mainlanders,Chinese Mainlanders,Chinese Mainlanders,Chinese Mainlanders,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Chinese Mainlanders,Hong Kongers       ,6,6,6,1,5,6,5,6,5,5,4,6,5,4,5,5,4,5,6,4,4,4,5,386.2,0,301.8974358974359,1,-84.30256410256408
604063,SC      ,sleep control,3.7142857142857144,5,Chinese Mainlanders,Hong Kongers       ,Chinese Mainlanders,Chinese Mainlanders,Chinese Mainlanders,Chinese Mainlanders,Hong Kongers       ,Hong Kongers       ,Chinese Mainlanders,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Chinese Mainlanders,Hong Kongers       ,Hong Kongers       ,Chinese Mainlanders,Hong Kongers       ,Hong Kongers       ,Chinese Mainlanders,Hong Kongers       ,Hong Kongers       ,5,6,5,1,5,5,4,5,4,3,4,3,4,4,4,4,4,4,6,4,4,3,3,317.275,0,319.275,0,2
604067,SC      ,sleep control,3.7142857142857144,4.571428571428571,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Chinese Mainlanders,Chinese Mainlanders,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Chinese Mainlanders,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Chinese Mainlanders,5,4,5,1,5,4,5,4,5,4,4,5,4,5,4,5,3,4,6,4,3,4,3,353.825,0,287.35,0,-66.47499999999997
604076,SC      ,sleep control,3.4285714285714284,4.714285714285714,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Chinese Mainlanders,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Chinese Mainlanders,Chinese Mainlanders,Chinese Mainlanders,Hong Kongers       ,Chinese Mainlanders,Hong Kongers       ,Hong Kongers       ,Chinese Mainlanders,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Chinese Mainlanders,5,3,4,1,6,5,5,5,5,6,4,6,6,5,6,5,1,3,6,5,3,3,4,320.075,0,309.05,0,-11.024999999999977
604078,SC      ,sleep control,3.4285714285714284,3.4285714285714284,Chinese Mainlanders,Chinese Mainlanders,Hong Kongers       ,Hong Kongers       ,Chinese Mainlanders,Chinese Mainlanders,Hong Kongers       ,Hong Kongers       ,Chinese Mainlanders,Hong Kongers       ,Chinese Mainlanders,Chinese Mainlanders,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Chinese Mainlanders,Chinese Mainlanders,Chinese Mainlanders,Chinese Mainlanders,4,3,3,1,4,3,4,3,5,5,5,4,4,4,4,4,3,3,6,4,3,4,3,340.25,0,308.325,0,-31.92500000000001
604079,SC      ,sleep control,2.7142857142857144,5.142857142857143,Chinese Mainlanders,Chinese Mainlanders,Hong Kongers       ,Chinese Mainlanders,Hong Kongers       ,Chinese Mainlanders,Hong Kongers       ,Chinese Mainlanders,Chinese Mainlanders,Chinese Mainlanders,Hong Kongers       ,Hong Kongers       ,Chinese Mainlanders,Hong Kongers       ,Chinese Mainlanders,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Chinese Mainlanders,Hong Kongers       ,6,4,5,1,6,5,5,5,5,6,5,6,6,6,6,3,2,3,6,3,2,3,3,354.15,0,365.35,0,11.200000000000045
604081,SC      ,sleep control,3.5714285714285716,4.571428571428571,Hong Kongers       ,Chinese Mainlanders,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Chinese Mainlanders,Chinese Mainlanders,Hong Kongers       ,Chinese Mainlanders,Hong Kongers       ,Chinese Mainlanders,Hong Kongers       ,Hong Kongers       ,Chinese Mainlanders,Hong Kongers       ,Chinese Mainlanders,Hong Kongers       ,Hong Kongers       ,Chinese Mainlanders,4,4,5,1,6,6,2,5,6,6,6,3,5,3,5,5,4,4,6,2,4,2,4,367.975,0,409.02564102564105,1,41.05064102564103
604087,SC      ,sleep control,2.857142857142857,4.714285714285714,Chinese Mainlanders,Chinese Mainlanders,Chinese Mainlanders,Hong Kongers       ,Chinese Mainlanders,Chinese Mainlanders,Chinese Mainlanders,Chinese Mainlanders,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Chinese Mainlanders,Chinese Mainlanders,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Hong Kongers       ,Chinese Mainlanders,Chinese Mainlanders,5,4,5,1,5,5,4,5,6,5,6,6,6,5,6,3,2,1,6,5,3,3,3,306.425,0,303.425,0,-3
